run_id,algorithm_name,input_size,time_ns,memory_kb,date_run
1,Linear Search,100,12500,122.88,2026-08-01 10:00:00
2,Linear Search,500,48000,184.32,2026-08-01 10:05:00
3,Linear Search,1000,92000,256.00,2026-08-01 10:10:00
4,Linear Search,5000,450000,870.40,2026-08-01 10:15:00
5,Linear Search,10000,890000,1484.80,2026-08-01 10:20:00
6,Binary Search,100,800,122.88,2026-08-01 10:25:00
7,Binary Search,500,1200,184.32,2026-08-01 10:30:00
8,Binary Search,1000,1500,256.00,2026-08-01 10:35:00
9,Binary Search,5000,2100,870.40,2026-08-01 10:40:00
10,Binary Search,10000,2600,1484.80,2026-08-01 10:45:00
11,Selection Sort,100,180000,153.60,2026-08-02 11:00:00
12,Selection Sort,500,4200000,327.68,2026-08-02 11:05:00
13,Selection Sort,1000,16500000,593.92,2026-08-02 11:10:00
14,Selection Sort,5000,410000000,2150.40,2026-08-02 11:15:00
15,Selection Sort,10000,1680000000,4300.80,2026-08-02 11:20:00
16,QuickSort,100,25000,163.84,2026-08-02 11:25:00
17,QuickSort,500,140000,348.16,2026-08-02 11:30:00
18,QuickSort,1000,310000,614.40,2026-08-02 11:35:00
19,QuickSort,5000,1850000,2304.00,2026-08-02 11:40:00
20,QuickSort,10000,3900000,4608.00,2026-08-02 11:45:00
21,Dijkstra,50,320000,460.80,2026-08-03 14:00:00
22,Dijkstra,100,850000,839.68,2026-08-03 14:05:00
23,Dijkstra,200,2100000,1638.40,2026-08-03 14:10:00
24,Dijkstra,500,6800000,3993.60,2026-08-03 14:15:00
25,Kruskal MST,50,280000,409.60,2026-08-03 14:20:00
26,Kruskal MST,100,720000,768.00,2026-08-03 14:25:00
27,Kruskal MST,200,1800000,1515.52,2026-08-03 14:30:00
28,Kruskal MST,500,5900000,3737.60,2026-08-03 14:35:00
29,Heap Priority Queue,1000,420000,532.48,2026-08-04 09:00:00
30,Heap Priority Queue,10000,4800000,4198.40,2026-08-04 09:05:00
