road_id,from_location_id,to_location_id,distance_km,travel_time_mins,road_condition_weight
1,1,2,0.35,3.5,1.0
2,2,1,0.35,3.5,1.0
3,1,4,0.40,4.0,1.1
4,4,1,0.40,4.0,1.1
5,4,5,0.20,2.0,1.0
6,5,4,0.20,2.0,1.0
7,3,1,0.85,8.0,1.2
8,1,3,0.85,9.0,1.3
9,2,7,1.20,12.0,1.4
10,7,2,1.20,12.0,1.4
11,7,8,0.95,9.0,1.0
12,8,7,0.95,9.0,1.0
13,1,6,2.60,18.0,1.3
14,6,1,2.60,18.0,1.3
15,4,3,0.60,6.0,1.0
16,3,4,0.60,6.0,1.0
17,8,10,0.50,5.0,1.0
18,10,8,0.50,5.0,1.0
19,9,3,0.75,7.0,1.1
20,3,9,0.75,7.0,1.1
21,2,10,0.25,2.5,1.0
22,10,2,0.25,2.5,1.0
23,5,10,0.30,3.0,1.0
24,10,5,0.30,3.0,1.0
25,9,11,0.45,4.5,1.1
26,11,9,0.45,4.5,1.1
27,11,12,0.50,5.0,1.0
28,12,11,0.50,5.0,1.0
29,12,13,0.65,6.5,1.0
30,13,12,0.65,6.5,1.0
31,13,14,0.40,4.0,1.0
32,14,13,0.40,4.0,1.0
33,14,7,0.55,5.5,1.2
34,7,14,0.55,5.5,1.2
35,6,15,1.10,10.0,1.1
36,15,6,1.10,10.0,1.1
37,15,16,0.70,7.0,1.0
38,16,15,0.70,7.0,1.0
39,16,17,0.80,8.0,1.0
40,17,16,0.80,8.0,1.0
41,17,18,0.60,6.0,1.1
42,18,17,0.60,6.0,1.1
43,18,1,0.90,9.0,1.1
44,1,18,0.90,9.0,1.1
45,10,19,0.40,4.0,1.0
46,19,10,0.40,4.0,1.0
47,19,20,0.35,3.5,1.0
48,20,19,0.35,3.5,1.0
49,20,21,0.30,3.0,1.0
50,21,20,0.30,3.0,1.0
51,21,22,0.45,4.5,1.0
52,22,21,0.45,4.5,1.0
53,22,23,0.50,5.0,1.2
54,23,22,0.50,5.0,1.2
55,23,24,0.65,6.5,1.0
56,24,23,0.65,6.5,1.0
57,24,25,0.80,8.0,1.1
58,25,24,0.80,8.0,1.1
59,25,26,1.00,10.0,1.3
60,26,25,1.00,10.0,1.3
61,26,27,0.55,5.5,1.0
62,27,26,0.55,5.5,1.0
63,27,8,0.75,7.5,1.2
64,8,27,0.75,7.5,1.2
65,8,28,0.60,6.0,1.3
66,28,8,0.60,6.0,1.3
67,28,29,0.95,9.5,1.1
68,29,28,0.95,9.5,1.1
69,29,30,0.40,4.0,1.0
70,30,29,0.40,4.0,1.0
71,30,1,1.10,11.0,1.2
72,1,30,1.10,11.0,1.2
73,4,31,0.45,4.5,1.1
74,31,4,0.45,4.5,1.1
75,31,32,0.35,3.5,1.2
76,32,31,0.35,3.5,1.2
77,32,7,0.50,5.0,1.3
78,7,32,0.50,5.0,1.3
79,31,33,0.60,6.0,1.1
80,33,31,0.60,6.0,1.1
81,33,34,0.30,3.0,1.0
82,34,33,0.30,3.0,1.0
83,34,35,0.40,4.0,1.0
84,35,34,0.40,4.0,1.0
85,35,36,0.50,5.0,1.0
86,36,35,0.50,5.0,1.0
87,36,37,0.60,6.0,1.2
88,37,36,0.60,6.0,1.2
89,37,2,0.40,4.0,1.0
90,2,37,0.40,4.0,1.0
91,37,38,0.70,7.0,1.0
92,38,37,0.70,7.0,1.0
93,38,39,0.50,5.0,1.0
94,39,38,0.50,5.0,1.0
95,39,40,0.65,6.5,1.0
96,40,39,0.65,6.5,1.0
97,40,1,0.20,2.0,1.0
98,1,40,0.20,2.0,1.0
99,3,41,0.80,8.0,1.1
100,41,3,0.80,8.0,1.1
