resource_id,type,home_location_id,capacity,availability_status
RES-001,Shuttle-Bus,40,45,AVAILABLE
RES-002,Shuttle-Bus,40,45,BUSY
RES-003,Shuttle-Bus,43,45,AVAILABLE
RES-004,Shuttle-Bus,43,45,OFFLINE
RES-005,Shuttle-Van,42,15,BUSY
RES-006,Shuttle-Van,42,15,AVAILABLE
RES-007,Shuttle-Van,44,15,AVAILABLE
RES-008,Shuttle-Van,41,15,BUSY
RES-009,Technician-Electrical,31,1,BUSY
RES-010,Technician-Electrical,31,1,AVAILABLE
RES-011,Technician-Electrical,47,1,AVAILABLE
RES-012,Technician-Electrical,47,1,OFFLINE
RES-013,Technician-Plumbing,30,1,BUSY
RES-014,Technician-Plumbing,30,1,BUSY
RES-015,Technician-Plumbing,47,1,AVAILABLE
RES-016,IT-Support-Agent,25,1,AVAILABLE
RES-017,IT-Support-Agent,25,1,BUSY
RES-018,IT-Support-Agent,16,1,AVAILABLE
RES-019,IT-Support-Agent,16,1,OFFLINE
RES-020,Carpenter,31,1,AVAILABLE
RES-021,Carpenter,47,1,AVAILABLE
RES-022,Lab-Equipment-Tech,32,1,BUSY
RES-023,Lab-Equipment-Tech,38,1,AVAILABLE
RES-024,Porter,1,1,AVAILABLE
RES-025,Porter,5,1,AVAILABLE
RES-026,Porter,12,1,BUSY
RES-027,Maintenance-Crew,30,3,AVAILABLE
RES-028,Maintenance-Crew,47,3,BUSY
RES-029,Waste-Management-Truck,46,2,OFFLINE
RES-030,Waste-Management-Truck,45,2,AVAILABLE
