request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
REQ-001,1,1,plumbing,MEDIUM,2026-08-01T07:15:00Z,2026-08-02T07:15:00Z,DONE
REQ-002,40,16,shuttle_transit,LOW,2026-08-01T07:25:00Z,2026-08-01T07:45:00Z,DONE
REQ-003,17,17,electrical,HIGH,2026-08-01T07:40:00Z,2026-08-01T15:40:00Z,DONE
REQ-004,12,44,shuttle_transit,LOW,2026-08-01T08:00:00Z,2026-08-01T08:30:00Z,DONE
REQ-005,16,16,IT_network,MEDIUM,2026-08-01T08:15:00Z,2026-08-02T08:15:00Z,DONE
REQ-006,5,5,carpentry,LOW,2026-08-01T09:10:00Z,2026-08-04T09:10:00Z,DONE
REQ-007,43,40,shuttle_transit,MEDIUM,2026-08-01T09:45:00Z,2026-08-01T10:15:00Z,DONE
REQ-008,32,32,lab_equipment,CRITICAL,2026-08-01T10:20:00Z,2026-08-01T14:20:00Z,DONE
REQ-009,8,8,plumbing,LOW,2026-08-01T11:05:00Z,2026-08-03T11:05:00Z,DONE
REQ-010,41,45,shuttle_transit,LOW,2026-08-01T12:00:00Z,2026-08-01T12:30:00Z,DONE
REQ-011,2,2,waste_management,LOW,2026-08-01T13:15:00Z,2026-08-03T13:15:00Z,DONE
REQ-012,23,23,IT_network,HIGH,2026-08-01T14:30:00Z,2026-08-02T14:30:00Z,DONE
REQ-013,15,15,electrical,MEDIUM,2026-08-01T15:00:00Z,2026-08-02T15:00:00Z,DONE
REQ-014,40,43,shuttle_transit,LOW,2026-08-01T15:45:00Z,2026-08-01T16:15:00Z,DONE
REQ-015,18,18,carpentry,LOW,2026-08-01T16:30:00Z,2026-08-04T16:30:00Z,DONE
REQ-016,33,33,electrical,CRITICAL,2026-08-02T06:10:00Z,2026-08-02T10:10:00Z,DONE
REQ-017,42,40,shuttle_transit,LOW,2026-08-02T06:45:00Z,2026-08-02T07:15:00Z,DONE
REQ-018,4,4,plumbing,MEDIUM,2026-08-02T07:20:00Z,2026-08-03T07:20:00Z,DONE
REQ-019,25,25,IT_network,MEDIUM,2026-08-02T08:00:00Z,2026-08-03T08:00:00Z,DONE
