run_id,algo_identifier,sample_size_n,exec_time_str,mem_usage_mb,machine_specs,date_logged
1,Linear Search,100,12500 ns,0.12 MB,Core i7 16GB RAM,2026-08-01
2,Linear Search,500,48000 ns,0.18 MB,Core i7 16GB RAM,2026-08-01
3,Linear Search,1000,92000 ns,0.25 MB,Core i7 16GB RAM,2026-08-01
4,Linear Search,5000,450000 ns,0.85 MB,Core i7 16GB RAM,2026-08-01
5,Linear Search,10000,890000 ns,1.45 MB,Core i7 16GB RAM,2026-08-01
6,Binary Search,100,800 ns,0.12 MB,Core i7 16GB RAM,2026-08-01
7,Binary Search,500,1200 ns,0.18 MB,Core i7 16GB RAM,2026-08-01
8,Binary Search,1000,1500 ns,0.25 MB,Core i7 16GB RAM,2026-08-01
9,Binary Search,5000,2100 ns,0.85 MB,Core i7 16GB RAM,2026-08-01
10,Binary Search,10000,2600 ns,1.45 MB,Core i7 16GB RAM,2026-08-01
11,Selection Sort,100,180000 ns,0.15 MB,Core i7 16GB RAM,2026-08-02
12,Selection Sort,500,4200000 ns,0.32 MB,Core i7 16GB RAM,2026-08-02
13,Selection Sort,1000,16500000 ns,0.58 MB,Core i7 16GB RAM,2026-08-02
14,Selection Sort,5000,410000000 ns,2.10 MB,Core i7 16GB RAM,2026-08-02
15,Selection Sort,10000,1680000000 ns,4.20 MB,Core i7 16GB RAM,2026-08-02
16,QuickSort,100,25000 ns,0.16 MB,Core i7 16GB RAM,2026-08-02
17,QuickSort,500,140000 ns,0.34 MB,Core i7 16GB RAM,2026-08-02
18,QuickSort,1000,310000 ns,0.60 MB,Core i7 16GB RAM,2026-08-02
19,QuickSort,5000,1850000 ns,2.25 MB,Core i7 16GB RAM,2026-08-02
20,QuickSort,10000,3900000 ns,4.50 MB,Core i7 16GB RAM,2026-08-02
21,Dijkstra Shortest Path,50,320000 ns,0.45 MB,Core i7 16GB RAM,2026-08-03
22,Dijkstra Shortest Path,100,850000 ns,0.82 MB,Core i7 16GB RAM,2026-08-03
23,Dijkstra Shortest Path,200,2100000 ns,1.60 MB,Core i7 16GB RAM,2026-08-03
24,Dijkstra Shortest Path,500,6800000 ns,3.90 MB,Core i7 16GB RAM,2026-08-03
25,Kruskal MST,50,280000 ns,0.40 MB,Core i7 16GB RAM,2026-08-03
26,Kruskal MST,100,720000 ns,0.75 MB,Core i7 16GB RAM,2026-08-03
27,Kruskal MST,200,1800000 ns,1.48 MB,Core i7 16GB RAM,2026-08-03
28,Kruskal MST,500,5900000 ns,3.65 MB,Core i7 16GB RAM,2026-08-03
29,Heap Priority Insert/Extract,1000,420000 ns,0.52 MB,Core i7 16GB RAM,2026-08-04
30,Heap Priority Insert/Extract,10000,4800000 ns,4.10 MB,Core i7 16GB RAM,2026-08-04
