run_id,algorithm_name,input_size,time_ns,memory_kb,date_run
1,linear_search,100,284834,,2026-08-22T17:08:45.519338Z
2,binary_search,100,246000,,2026-08-22T17:08:45.539342Z
3,linear_search,500,2250,,2026-08-22T17:08:45.539627Z
4,binary_search,500,583,,2026-08-22T17:08:45.539661Z
5,linear_search,1000,3375,,2026-08-22T17:08:45.539952Z
6,binary_search,1000,583,,2026-08-22T17:08:45.539985Z
7,linear_search,5000,14875,,2026-08-22T17:08:45.541038Z
8,binary_search,5000,750,,2026-08-22T17:08:45.541070Z
9,linear_search,10000,24917,,2026-08-22T17:08:45.542046Z
10,binary_search,10000,583,,2026-08-22T17:08:45.542084Z
11,selection_sort,100,37625,,2026-08-22T00:53:05.457942Z
12,insertion_sort,100,19167,,2026-08-22T00:53:05.477182Z
13,merge_sort,100,38209,,2026-08-22T00:53:05.477220Z
14,quick_sort,100,14584,,2026-08-22T00:53:05.477248Z
15,selection_sort,500,523167,,2026-08-22T00:53:05.478986Z
16,insertion_sort,500,475042,,2026-08-22T00:53:05.479019Z
17,merge_sort,500,127584,,2026-08-22T00:53:05.479044Z
18,quick_sort,500,68708,,2026-08-22T00:53:05.479064Z
19,selection_sort,1000,919041,,2026-08-22T00:53:05.481429Z
20,insertion_sort,1000,425500,,2026-08-22T00:53:05.481454Z
21,merge_sort,1000,69416,,2026-08-22T00:53:05.481478Z
22,quick_sort,1000,46084,,2026-08-22T00:53:05.481497Z
23,selection_sort,5000,3815708,,2026-08-22T00:53:05.490172Z
24,insertion_sort,5000,3216416,,2026-08-22T00:53:05.490212Z
25,merge_sort,5000,311500,,2026-08-22T00:53:05.490237Z
26,quick_sort,5000,189542,,2026-08-22T00:53:05.490260Z
27,selection_sort,10000,14584292,,2026-08-22T00:53:05.520279Z
28,insertion_sort,10000,3661625,,2026-08-22T00:53:05.520309Z
29,merge_sort,10000,606500,,2026-08-22T00:53:05.520329Z
30,quick_sort,10000,367875,,2026-08-22T00:53:05.520347Z
31,hash_table,100,21583,,2026-08-22T00:53:05.916483Z
32,hash_table,100,12334,,2026-08-22T00:53:05.916700Z
33,hash_table,100,11917,,2026-08-22T00:53:05.916835Z
34,hash_table,100,7875,,2026-08-22T00:53:05.916945Z
35,hash_table,100,5875,,2026-08-22T00:53:05.917057Z
36,hash_table,1000,46417,,2026-08-22T00:53:05.917229Z
37,hash_table,1000,46875,,2026-08-22T00:53:05.917526Z
38,hash_table,1000,42958,,2026-08-22T00:53:05.917800Z
39,hash_table,1000,53417,,2026-08-22T00:53:05.918053Z
40,hash_table,1000,46792,,2026-08-22T00:53:05.918380Z
41,hash_table,5000,218125,,2026-08-22T00:53:05.918952Z
42,hash_table,5000,214541,,2026-08-22T00:53:05.919946Z
43,hash_table,5000,218000,,2026-08-22T00:53:05.920776Z
44,hash_table,5000,218250,,2026-08-22T00:53:05.921527Z
45,hash_table,5000,226709,,2026-08-22T00:53:05.922301Z
46,hash_table,10000,186167,,2026-08-22T00:53:05.923035Z
47,hash_table,10000,184958,,2026-08-22T00:53:05.923783Z
48,hash_table,10000,7968500,,2026-08-22T00:53:05.932294Z
49,hash_table,10000,152958,,2026-08-22T00:53:05.933039Z
50,hash_table,10000,275209,,2026-08-22T00:53:05.933838Z
51,hash_table,20000,472750,,2026-08-22T00:53:05.934961Z
52,hash_table,20000,349083,,2026-08-22T00:53:05.936370Z
53,hash_table,20000,326625,,2026-08-22T00:53:05.937508Z
