edge_id,from_loc,to_loc,est_dist_m,est_time_sec,traffic_and_pothole_notes,date_surveyed
1,1,2,350,210,frequent student crossing near JQB,2026-01-10
2,2,1,350,210,normal traffic flow,2026-01-10
3,1,4,400,240,speed bumps on main avenue,2026-01-10
4,4,1,400,240,slight delay near hall gate,2026-01-10
5,4,5,200,120,clear walkway connection,2026-01-11
6,5,4,200,120,clear road,2026-01-11
7,3,1,850,480,steep downhill drive from commonwealth,2026-01-11
8,1,3,850,540,uphill drive heavy congestion peak times,2026-01-11
9,2,7,1200,720,heavy pedestrian area near night market,2026-01-12
10,7,2,1200,720,speed humps and food vendor stalls,2026-01-12
11,7,8,950,540,steady delivery traffic,2026-01-12
12,8,7,950,540,smooth link road,2026-01-12
13,1,6,2600,1080,long stretch towards ugmc off-core,2026-01-13
14,6,1,2600,1080,highway traffic near bypass,2026-01-13
15,4,3,600,360,central perimeter link,2026-01-13
16,3,4,600,360,good road surface,2026-01-13
17,8,10,500,300,shuttle stop connection,2026-01-14
18,10,8,500,300,moderate traffic,2026-01-14
19,9,3,750,420,north campus access route,2026-01-14
20,3,9,750,420,clear link to ish,2026-01-14
21,2,10,250,150,short link JQB to CC,2026-01-15
22,10,2,250,150,fast connection,2026-01-15
23,5,10,300,180,Volta to CC pathway,2026-01-15
24,10,5,300,180,paved access,2026-01-15
25,9,11,450,270,North zone link to Pentagon area,2026-01-15
26,11,9,450,270,steady shuttle movement,2026-01-15
27,11,12,500,300,Valco hostel connector,2026-01-16
28,12,11,500,300,open road,2026-01-16
29,12,13,650,390,Diaspora hostels link,2026-01-16
30,13,12,650,390,good asphalt,2026-01-16
31,13,14,400,240,TF Hostel route,2026-01-16
32,14,13,400,240,residential traffic,2026-01-16
33,14,7,550,330,TF to Night Market avenue,2026-01-17
34,7,14,550,330,busy market flow,2026-01-17
35,6,15,1100,600,UGMC to Nursing Dept link,2026-01-17
36,15,6,1100,600,ambulance route priority,2026-01-17
37,15,16,700,420,Medical School corridor,2026-01-17
38,16,15,700,420,clear road,2026-01-17
39,16,17,800,480,Pharmacy School connector,2026-01-18
40,17,16,800,480,lab transport route,2026-01-18
41,17,18,600,360,Noguchi Institute road,2026-01-18
42,18,17,600,360,restricted research zone speed,2026-01-18
43,18,1,900,540,Noguchi to Balme Library,2026-01-18
44,1,18,900,540,main academic loop,2026-01-18
45,10,19,400,240,CC to Math Dept,2026-01-19
46,19,10,400,240,smooth pathway,2026-01-19
47,19,20,350,210,Math to Physics Dept,2026-01-19
48,20,19,350,210,departmental walk,2026-01-19
49,20,21,300,180,Physics to Chemistry Dept,2026-01-19
50,21,20,300,180,science quadrangle road,2026-01-19
51,21,22,450,270,Chemistry to Earth Science,2026-01-20
52,22,21,450,270,clear access,2026-01-20
53,22,23,500,300,Earth Science to Agricultural School,2026-01-20
54,23,22,500,300,farm machinery movement delay,2026-01-20
55,23,24,650,390,Agric to Veterinary Complex,2026-01-20
56,24,23,650,390,quiet road,2026-01-20
57,24,25,800,480,Vet Complex to Botanical Gardens,2026-01-21
58,25,24,800,480,scenic slow route,2026-01-21
59,25,26,1000,600,Botanical Gardens to UG Stadium,2026-01-21
60,26,25,1000,600,sports event congestion potential,2026-01-21
61,26,27,550,330,UG Stadium to Sports Directorate,2026-01-21
62,27,26,550,330,smooth road,2026-01-21
63,27,8,750,450,Sports Directorate to Bush Canteen,2026-01-22
64,8,27,750,450,busy food vendor zone,2026-01-22
65,8,28,600,360,Bush Canteen to Okponglo Gate,2026-01-22
66,28,8,600,360,main entrance gate traffic,2026-01-22
67,28,29,950,570,Okponglo Gate to Fire Station,2026-01-22
68,29,28,950,570,emergency vehicle route,2026-01-22
69,29,30,400,240,Fire Station to Police Post,2026-01-23
70,30,29,400,240,security patrol loop,2026-01-23
71,30,1,1100,660,Police Post to Balme Library,2026-01-23
72,1,30,1100,660,central avenue arterial,2026-01-23
73,4,31,450,270,Legon Hall to Akuafo Hall,2026-01-23
74,31,4,450,270,roundabout traffic,2026-01-23
75,31,32,350,210,Akuafo Hall to Mensah Sarbah Hall,2026-01-24
76,32,31,350,210,high student foot traffic,2026-01-24
77,32,7,500,300,Sarbah Hall to Night Market,2026-01-24
78,7,32,500,300,commercial activity speed reduction,2026-01-24
79,31,33,600,360,Akuafo Hall to Great Hall,2026-01-24
80,33,31,600,360,uphill ceremonial avenue,2026-01-24
81,33,34,300,180,Great Hall to Tower Building,2026-01-25
82,34,33,300,180,administrative plaza route,2026-01-25
83,34,35,400,240,Tower Building to Registry,2026-01-25
84,35,34,400,240,smooth link,2026-01-25
85,35,36,500,300,Registry to Finance Office,2026-01-25
86,36,35,500,300,clear road,2026-01-25
87,36,37,600,360,Finance Office to Business School (UGBS),2026-01-26
88,37,36,600,360,UGBS heavy executive traffic,2026-01-26
89,37,2,400,240,UGBS to JQB,2026-01-26
90,2,37,400,240,academic core loop,2026-01-26
91,37,38,700,420,UGBS to Law Faculty,2026-01-26
92,38,37,700,420,paved access road,2026-01-26
93,38,39,500,300,Law Faculty to International House,2026-01-27
94,39,38,500,300,quiet zone road,2026-01-27
95,39,40,650,390,International House to Balme Annex,2026-01-27
96,40,39,650,390,library rear road,2026-01-27
97,40,1,200,120,Balme Annex to Balme Main,2026-01-27
98,1,40,200,120,direct library courtyard connection,2026-01-27
99,3,41,800,480,Commonwealth Hall to Jubilee Hall,2026-01-28
100,41,3,800,480,north perimeter road,2026-01-28
