road_id,from_location_id,to_location_id,distance,travel_time,road_condition_weight
1,40,41,1300,4,1.2
2,41,44,500,2,1.5
3,44,42,800,3,1.1
4,42,43,1500,5,1.3
5,43,40,3000,10,1.4
6,43,12,100,1,1.0
7,43,8,250,3,1.0
8,8,9,150,2,1.0
9,9,10,150,2,1.0
10,10,11,150,2,1.0
11,12,13,150,2,1.2
12,13,14,150,2,1.2
13,14,34,1000,12,1.1
14,11,34,250,3,1.0
15,42,15,100,1,1.0
16,42,28,150,2,1.0
17,28,27,100,1,1.0
18,27,26,100,1,1.0
19,26,25,100,1,1.0
20,25,48,400,5,1.4
21,28,38,150,2,1.0
22,42,48,300,4,1.5
23,1,30,150,2,1.3
24,1,16,150,2,1.2
25,30,16,250,3,1.2
26,1,45,350,5,1.1
27,41,4,200,3,1.2
28,4,2,250,3,1.0
29,2,45,100,1,1.0
30,45,16,150,2,1.0
31,41,47,150,2,1.0
32,47,4,150,2,1.0
33,47,49,100,1,1.0
34,49,35,200,3,1.0
35,35,16,250,3,1.0
36,16,17,300,4,1.1
37,17,44,100,1,1.0
38,44,22,150,2,1.0
39,22,23,100,1,1.0
40,23,31,150,2,1.0
41,31,24,300,4,1.0
42,24,39,200,3,1.0
43,39,36,150,2,1.0
44,36,6,200,3,1.0
45,6,3,350,5,1.0
46,3,2,150,2,1.0
47,17,18,100,1,1.0
48,18,19,100,1,1.0
49,19,20,100,1,1.0
50,20,21,100,1,1.0
51,21,24,200,3,1.0
52,18,44,150,2,1.0
53,40,33,350,5,1.1
54,33,32,250,3,1.0
55,32,46,350,5,1.3
56,46,40,600,8,1.2
57,40,50,400,5,1.0
58,50,33,350,5,1.0
59,46,37,400,5,1.0
60,37,7,400,5,1.0
61,7,5,150,2,1.0
62,5,29,300,4,1.0
63,29,7,350,5,1.0
64,5,41,300,4,1.2
65,23,17,200,3,1.0
66,2,16,150,2,1.0
67,3,16,200,3,1.0
68,4,6,250,3,1.0
69,6,17,350,5,1.0
70,35,39,200,3,1.0
71,49,5,450,6,1.1
72,41,49,250,3,1.0
73,31,18,250,3,1.0
74,39,19,250,3,1.0
75,36,20,200,3,1.0
76,6,21,250,3,1.0
77,24,17,250,3,1.0
78,37,32,350,5,1.0
79,29,46,250,3,1.2
80,50,29,600,8,1.1
81,45,44,350,5,1.1
82,44,31,250,3,1.0
83,42,25,250,3,1.1
84,25,28,200,3,1.0
85,28,1,550,7,1.4
86,38,1,450,6,1.5
87,15,38,300,4,1.0
88,48,34,800,10,1.3
89,8,48,400,5,1.2
90,43,15,700,9,1.4
91,12,11,250,3,1.0
92,40,7,700,9,1.2
93,32,40,600,8,1.0
94,33,29,450,6,1.0
95,5,37,400,5,1.0
96,41,45,450,6,1.1
97,4,45,300,4,1.0
99,47,39,250,3,1.1
100,24,36,250,3,1.0
101,30,27,450,6,1.3
102,43,14,400,5,1.1
